"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 22, 2021","148.34","147.10","149.69","147.10","7.05M","1.04%"
"Oct 21, 2021","146.81","146.58","146.91","145.81","4.59M","0.55%"
"Oct 20, 2021","146.00","144.89","146.49","144.89","5.81M","0.91%"
"Oct 19, 2021","144.69","144.63","145.61","143.66","11.15M","2.12%"
"Oct 18, 2021","141.68","140.00","142.01","139.83","6.47M","0.80%"
"Oct 15, 2021","140.55","140.62","141.10","139.96","6.91M","0.49%"
"Oct 14, 2021","139.87","138.50","140.07","138.50","6.57M","1.08%"
"Oct 13, 2021","138.37","139.50","140.01","138.13","5.96M","-0.72%"
"Oct 12, 2021","139.38","139.34","140.41","139.07","5.26M","-0.11%"
"Oct 11, 2021","139.53","139.52","140.78","139.44","4.28M","-0.09%"
"Oct 08, 2021","139.66","139.66","140.09","139.01","4.62M","0.30%"
"Oct 07, 2021","139.24","138.78","140.70","138.76","6.91M","1.18%"
"Oct 06, 2021","137.62","136.24","137.79","136.13","6.43M","0.73%"
"Oct 05, 2021","136.62","135.95","137.71","135.90","6.85M","0.66%"
"Oct 04, 2021","135.73","137.09","138.23","134.71","9.75M","-0.96%"
"Oct 01, 2021","137.05","139.26","139.63","135.92","10.00M","-1.67%"
"Sep 30, 2021","139.38","140.64","141.73","139.25","7.45M","-0.75%"
"Sep 29, 2021","140.44","140.65","141.83","140.32","7.11M","-0.04%"
"Sep 28, 2021","140.50","141.88","142.07","139.99","6.78M","-1.23%"
"Sep 27, 2021","142.25","142.87","143.55","141.84","6.86M","-0.64%"
"Sep 24, 2021","143.17","142.50","143.69","142.49","4.45M","0.28%"
"Sep 23, 2021","142.77","143.22","143.63","142.45","5.17M","0.06%"
"Sep 22, 2021","142.69","143.47","143.60","142.29","5.01M","-0.23%"
"Sep 21, 2021","143.02","142.70","144.58","142.67","5.80M","0.20%"
"Sep 20, 2021","142.74","143.50","145.18","141.62","8.28M","-1.37%"
"Sep 17, 2021","144.73","144.14","146.16","144.02","24.35M","-0.21%"
"Sep 16, 2021","145.03","144.44","145.31","143.69","6.10M","0.33%"
"Sep 15, 2021","144.55","144.07","144.75","143.79","4.93M","0.17%"
"Sep 14, 2021","144.30","145.48","145.88","143.92","5.50M","-0.52%"
"Sep 13, 2021","145.06","146.52","147.15","144.64","6.42M","-0.57%"
"Sep 10, 2021","145.89","147.20","147.24","145.43","5.26M","-0.36%"
"Sep 09, 2021","146.42","147.46","147.61","145.84","7.17M","-0.71%"
"Sep 08, 2021","147.46","146.95","148.32","146.73","6.48M","0.13%"
"Sep 07, 2021","147.27","148.97","149.17","147.06","8.20M","-1.33%"
"Sep 03, 2021","149.25","148.20","149.65","147.90","5.74M","0.46%"
"Sep 02, 2021","148.56","148.12","148.79","147.69","6.66M","0.53%"
"Sep 01, 2021","147.78","147.56","147.93","146.57","6.35M","-0.22%"
"Aug 31, 2021","148.10","147.99","148.44","147.24","8.30M","0.27%"
"Aug 30, 2021","147.70","146.42","148.00","146.02","5.45M","0.81%"
"Aug 27, 2021","146.52","147.51","147.69","146.18","7.70M","-0.56%"
"Aug 26, 2021","147.35","147.47","148.27","146.67","7.81M","-1.08%"
