"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 22, 2021","148.34","147.10","149.69","147.10","7.05M","1.04%"
"Oct 21, 2021","146.81","146.58","146.91","145.81","4.59M","0.55%"
"Oct 20, 2021","146.00","144.89","146.49","144.89","5.81M","0.91%"
"Oct 19, 2021","144.69","144.63","145.61","143.66","11.15M","2.12%"
"Oct 18, 2021","141.68","140.00","142.01","139.83","6.47M","0.80%"
"Oct 15, 2021","140.55","140.62","141.10","139.96","6.91M","0.49%"
"Oct 14, 2021","139.87","138.50","140.07","138.50","6.57M","1.08%"
"Oct 13, 2021","138.37","139.50","140.01","138.13","5.96M","-0.72%"
"Oct 12, 2021","139.38","139.34","140.41","139.07","5.26M","-0.11%"
"Oct 11, 2021","139.53","139.52","140.78","139.44","4.28M","-0.09%"
"Oct 08, 2021","139.66","139.66","140.09","139.01","4.62M","0.30%"
"Oct 07, 2021","139.24","138.78","140.70","138.76","6.91M","1.18%"
"Oct 06, 2021","137.62","136.24","137.79","136.13","6.43M","0.73%"
"Oct 05, 2021","136.62","135.95","137.71","135.90","6.85M","0.66%"
"Oct 04, 2021","135.73","137.09","138.23","134.71","9.75M","-0.96%"
"Oct 01, 2021","137.05","139.26","139.63","135.92","10.00M","-1.67%"
"Sep 30, 2021","139.38","140.64","141.73","139.25","7.45M","-0.75%"
"Sep 29, 2021","140.44","140.65","141.83","140.32","7.11M","-0.04%"
"Sep 28, 2021","140.50","141.88","142.07","139.99","6.78M","-1.23%"
"Sep 27, 2021","142.25","142.87","143.55","141.84","6.86M","-0.64%"
"Sep 24, 2021","143.17","142.50","143.69","142.49","4.45M","0.28%"
"Sep 23, 2021","142.77","143.22","143.63","142.45","5.17M","0.06%"
