,country,points,price,province
0,Italy,87,,Sicily & Sardinia
1,Portugal,87,15,Douro
2,US,87,14,Oregon
3,US,87,13,Michigan
4,US,87,65,Oregon
5,Spain,87,15,Northern Spain
6,Italy,87,16,Sicily & Sardinia
7,France,87,24,Alsace
8,Germany,87,12,Rheinhessen
9,France,87,27,Alsace
10,US,87,19,California
11,France,87,30,Alsace
12,US,87,34,California
13,Italy,87,,Sicily & Sardinia
14,US,87,12,California
15,Germany,87,24,Mosel
16,Argentina,87,30,Other
17,Argentina,87,13,Mendoza Province
18,Spain,87,28,Northern Spain
19,US,87,32,Virginia
20,US,87,23,Virginia
21,US,87,20,Oregon
22,Italy,87,19,Sicily & Sardinia
23,US,87,22,California
24,Italy,87,35,Sicily & Sardinia
25,US,87,69,California
26,Italy,87,13,Sicily & Sardinia
27,Italy,87,10,Sicily & Sardinia
28,Italy,87,17,Sicily & Sardinia
29,US,86,16,California
30,France,86,,Beaujolais
31,Italy,86,,Sicily & Sardinia
32,Italy,86,,Sicily & Sardinia
33,US,86,50,California
34,US,86,20,California
35,US,86,50,Oregon
36,Chile,86,15,Colchagua Valley
37,Italy,86,21,Sicily & Sardinia
38,Italy,86,11,Southern Italy
39,Italy,86,12,Sicily & Sardinia
40,Italy,86,17,Sicily & Sardinia
41,US,86,22,Oregon
42,France,86,9,Beaujolais
43,US,86,14,California
44,Chile,86,9,Maule Valley
45,US,86,40,Virginia
46,Italy,86,13,Sicily & Sardinia
47,US,86,13,California
48,US,86,16,Virginia
49,France,86,14,Beaujolais
50,Italy,86,,Sicily & Sardinia
51,Chile,85,22,Colchagua Valley
52,Italy,85,14,Sicily & Sardinia
53,France,85,15,Bordeaux
54,Italy,85,,Sicily & Sardinia
55,US,85,30,California
56,US,85,14,California
57,Italy,85,13,Sicily & Sardinia
58,Chile,85,13,Maipo Valley
59,US,86,55,Washington
60,US,86,100,California
61,Italy,86,17,Central Italy
62,US,86,25,Washington
63,France,86,58,Champagne
64,US,86,26,California
65,France,86,24,Burgundy
66,France,86,15,Burgundy
67,US,86,46,Washington
68,US,86,12,California
69,France,86,55,Champagne
70,US,86,12,Washington
71,US,86,40,California
72,Italy,86,32,Southern Italy
73,US,86,75,California
74,US,86,55,California
75,US,86,75,California
76,Germany,86,9,Rheinhessen
77,Australia,86,18,South Australia
78,US,86,25,Oregon
79,Portugal,86,,Tejo
80,Chile,86,12,Rapel Valley
81,Spain,86,16,Galicia
82,France,86,11,France Other
83,Australia,86,20,South Australia
84,US,86,24,California
85,Germany,86,10,Rheinhessen
86,US,86,20,Washington
87,US,86,55,California
88,Italy,86,29,Tuscany
89,Italy,88,19,Tuscany
90,US,88,23,California
91,US,88,18,California
92,US,88,55,California
93,Austria,88,12,Burgenland
94,US,88,22,Washington
95,France,88,20,Beaujolais
96,France,88,18,Beaujolais
97,US,88,20,New York
98,Italy,88,30,Tuscany
99,US,88,75,California
100,US,88,18,New York
101,US,87,20,New York
102,US,87,20,New York
103,Chile,87,18,Leyda Valley
104,Italy,87,16,Tuscany
105,Italy,87,14,Tuscany
106,Italy,87,30,Tuscany
107,Italy,87,18,Tuscany
108,US,87,26,California
109,Italy,87,30,Tuscany
110,France,87,23,Beaujolais
111,US,87,85,California
112,Italy,87,15,Tuscany
113,Italy,87,19,Tuscany
114,US,87,18,California
115,US,87,18,California
116,US,87,25,California
117,US,87,44,California
118,Italy,87,80,Tuscany
119,France,92,80,Alsace
120,Italy,92,70,Piedmont
121,US,92,36,California
122,US,92,39,California
123,Australia,92,40,South Australia
124,US,92,45,California
125,South Africa,91,45,Stellenbosch
126,France,91,48,Alsace
127,France,91,13,Alsace
128,France,91,17,Alsace
129,South Africa,91,25,Stellenbosch
130,Italy,91,70,Piedmont
131,France,91,20,Alsace
132,South Africa,91,30,Simonsberg-Stellenbosch
133,Italy,91,68,Piedmont
134,US,91,78,California
135,Italy,91,60,Piedmont
136,France,91,50,Bordeaux
137,South Africa,90,,Walker Bay
138,France,90,10,Alsace
139,France,90,112,Alsace
140,Italy,90,26,Piedmont
141,Italy,90,45,Piedmont
142,US,90,17,California
143,France,90,84,Alsace
144,US,91,85,California
145,US,91,64,California
146,US,91,68,California
147,US,91,68,California
148,Germany,91,16,Rheinhessen
149,US,91,35,California
150,US,91,25,California
151,Portugal,91,30,Alentejano
152,US,91,55,California
153,US,91,46,California
154,Spain,91,50,Central Spain
155,US,91,36,California
156,Germany,91,14,Mosel
157,Portugal,91,26,Alentejano
158,Italy,91,38,Tuscany
159,Italy,91,,Tuscany
160,France,91,35,Southwest France
161,US,91,35,California
162,US,91,28,California
163,France,91,,Beaujolais
164,Chile,91,29,Aconcagua Valley
165,Chile,91,32,Maipo Valley
166,France,91,25,Southwest France
167,US,91,28,California
168,US,91,95,California
169,US,91,44,California
170,Germany,91,30,Mosel
171,Germany,91,22,Mosel
172,Chile,91,20,Loncomilla Valley
173,US,91,38,Oregon
174,New Zealand,88,19,Marlborough
175,Italy,88,25,Northeastern Italy
176,Chile,88,50,Maipo Valley
177,Italy,88,22,Tuscany
178,US,88,25,California
179,France,88,27,Burgundy
180,US,88,23,California
181,US,88,36,California
182,Italy,88,,Tuscany
183,Argentina,88,12,Other
184,US,88,35,California
185,Chile,88,15,Colchagua Valley
186,US,88,40,California
187,Italy,88,48,Sicily & Sardinia
188,Chile,88,11,Colchagua Valley
189,Chile,87,11,Casablanca Valley
190,Italy,87,26,Southern Italy
191,Australia,87,30,South Australia
192,Italy,87,20,Veneto
193,France,87,35,Burgundy
194,Italy,87,,Tuscany
195,Italy,87,35,Tuscany
196,Italy,87,18,Tuscany
197,South Africa,90,23,Western Cape
198,US,90,60,California
199,US,90,28,California
200,Italy,90,,Tuscany
201,Italy,90,62,Northeastern Italy
202,Israel,90,50,Judean Hills
203,Portugal,90,28,Alentejo
204,US,90,30,California
205,US,90,25,California
206,US,90,25,California
207,US,90,32,California
208,South Africa,90,40,Coastal Region
209,France,90,16,Rhône Valley
210,South Africa,90,20,Western Cape
211,France,90,32,Rhône Valley
212,Spain,90,40,Northern Spain
213,US,90,48,California
214,US,90,36,California
215,Israel,90,80,Galilee
216,Italy,90,57,Tuscany
217,Portugal,90,20,Beira Atlantico
218,US,90,20,California
219,Hungary,90,36,Tokaj
220,US,90,40,California
221,Italy,90,40,Northeastern Italy
222,Italy,90,,Tuscany
223,Italy,90,,Northeastern Italy
224,Argentina,90,22,Mendoza Province
225,South Africa,90,25,Stellenbosch
226,South Africa,90,20,Stellenbosch
227,US,85,15,New York
228,US,85,14,New York
229,US,85,18,California
230,US,85,16,New York
231,Argentina,85,10,Mendoza Province
232,Australia,85,12,South Australia
233,US,85,28,Oregon
234,Italy,85,10,Central Italy
235,US,85,49,California
236,US,85,85,California
237,Italy,85,18,Central Italy
238,Australia,85,29,South Australia
239,US,85,36,California
240,France,85,9,Southwest France
241,US,85,34,California
242,US,85,15,California
243,US,85,30,New York
244,Spain,85,13,Northern Spain
245,Argentina,85,12,Other
246,Australia,85,15,South Australia
247,US,85,25,California
248,US,85,45,Oregon
249,US,85,18,Virginia
250,US,85,49,California
251,US,85,22,Oregon
252,US,85,35,California
253,Argentina,85,15,Mendoza Province
254,US,89,45,California
255,US,89,55,California
256,South Africa,89,20,Coastal Region
257,South Africa,89,18,Coastal Region
258,South Africa,89,35,Stellenbosch
259,France,89,13,Southwest France
260,US,89,40,Oregon
261,Argentina,89,37,Mendoza Province
262,US,89,39,California
263,US,89,60,California
264,South Africa,89,19,Stellenbosch
265,South Africa,89,40,Stellenbosch
266,Argentina,89,14,Mendoza Province
267,Italy,89,40,Central Italy
268,Italy,89,36,Veneto
269,Austria,89,17,Leithaberg
270,Italy,89,25,Northeastern Italy
